tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,,,
120P13767,NJ-3,WESTBOUND,US-9/US-1/TONNELLE AVE,NJ,HUDSON,7047,40.7725,-74.0421,40.7742,-74.0428,0.130332,1,America/New_York,P1.11,USA,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0.57,0.57
,,,,,,,,,,,,,,,,0.57,0.71,0.14
,,,,,,,,,,,,,,,,0.71,1.14,0.43
,,,,,,,,,,,,,,,,1.14,1.28,0.14
,,,,,,,,,,,,,,,,1.28,1.3,0.02
,,,,,,,,,,,,,,,,1.3,1.45,0.14
,,,,,,,,,,,,,,,,1.45,1.45,0.01
,,,,,,,,,,,,,,,,1.45,2.37,0.92
,,,,,,,,,,,,,,,,2.37,2.49,0.12
,,,,,,,,,,,,,,,,2.49,3.16,0.67
,,,,,,,,,,,,,,,,3.16,3.27,0.1
,,,,,,,,,,,,,,,,3.27,3.56,0.3
,,,,,,,,,,,,,,,,3.56,3.65,0.09
,,,,,,,,,,,,,,,,3.65,4.19,0.54
,,,,,,,,,,,,,,,,4.19,4.34,0.15
,,,,,,,,,,,,,,,,4.34,4.68,0.34
,,,,,,,,,,,,,,,,4.68,4.95,0.27
,,,,,,,,,,,,,,,,4.95,5.17,0.22
,,,,,,,,,,,,,,,,5.17,5.55,0.38
,,,,,,,,,,,,,,,,5.55,5.83,0.28
,,,,,,,,,,,,,,,,5.83,6.31,0.48
,,,,,,,,,,,,,,,,6.31,6.96,0.64
,,,,,,,,,,,,,,,,6.96,7.02,0.06
,,,,,,,,,,,,,,,,7.02,7.06,0.04
,,,,,,,,,,,,,,,,7.06,7.35,0.3
